room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_SURVEILLANCE,isSuperHost,isVerified,price,price_full,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_EV_CHARGER,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_FIREPIT,SYSTEM_SMOKING_ALLOWED,rating,reviewCount,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE
883776381559233934,https://www.airbnb.com.vn/rooms/883776381559233934,,29,11.535565,106.89349,REGULAR,,luxury 2 bedroom apartment,entire_home,False,,/ đêm,4.0,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
715146486834913387,https://www.airbnb.com.vn/rooms/715146486834913387,Đồng Xoài,17,11.52285,106.87902,REGULAR,,Phòng Hoa Mai cho đôi tình nhân.,private_room,False,,/ đêm,2.0,,,True,True,True,True,,,,True,False,False,513.530,₫513.530,True,True,False,False,False,,,,,,,,,,,,,,
804787889243492730,https://www.airbnb.com.vn/rooms/804787889243492730,Bình Thạnh,24,11.41779,106.68698,REGULAR,,"Căn hộ 3 phòng ngủ, tầm nhìn ra sông Vinhomes Landmark 81",entire_home,False,,/ đêm,6.0,True,,True,True,True,,True,,,,,,,,True,True,,,,True,True,True,,,,,,,,,,,
733021958160514752,https://www.airbnb.com.vn/rooms/733021958160514752,Quận 7,25,11.543139880413332,106.92072495818138,REGULAR,,Căn hộ chung cư cao Cấp có hồ bơi miễn phí,private_room,False,,/ đêm,4.0,True,,True,True,True,True,True,,True,True,,,,,True,,,,,True,,,,,,,,,,,,,
879929303048614309,https://www.airbnb.com.vn/rooms/879929303048614309,Quận 7,30,11.432465,106.64800500000001,REGULAR,,căn hộ chung cư cao cấp 2 phòng ngủ có bể bơi,entire_home,False,,/ đêm,6.0,True,,True,True,True,True,True,,True,True,,,,,True,,,,,,True,,,,,,,,,,,,
745965995460447291,https://www.airbnb.com.vn/rooms/745965995460447291,Phước Long,7,11.65679,106.89767,REGULAR,,"1 phòng ngủ riêng ấm cúng và hiện đại, bãi đỗ xe miễn phí",private_room,False,,/ đêm,2.0,,,,True,True,True,,,,,,,513.530,₫513.530,True,True,,False,False,,True,,,,,,,,,,,,
822984825739223392,https://www.airbnb.com.vn/rooms/822984825739223392,Quận 4,7,11.43351,106.64854,REGULAR,,Căn hộ vị trí trung tâm Quận 4.,entire_home,False,,/ đêm,5.0,,,True,True,True,True,True,,,True,,,,,True,True,,,,,True,True,,,,,,,,,,,
45590432,https://www.airbnb.com.vn/rooms/45590432,Thị xã Đồng Xoài,14,11.53836,106.89554,REGULAR,,Khách sạn Đồng Xoài Bình Phước - phòng 1 giường,private_room,False,,/ đêm,2.0,,,True,True,,True,,,,,,,,,True,True,,False,False,,,,True,True,True,,,,,,,,
715152199327427201,https://www.airbnb.com.vn/rooms/715152199327427201,Đồng Xoài,15,11.52456,106.87679,REGULAR,,Phòng ngủ hoa sen giường tầng,private_room,False,,/ đêm,3.0,,,True,True,True,True,,,,True,False,False,627.647,₫627.647,True,,False,False,False,,True,,,,,,,,,,,,
715102208303448483,https://www.airbnb.com.vn/rooms/715102208303448483,Đồng Xoài,20,11.52333126616373,106.87788337469101,REGULAR,,"Chổ ở có sân vườn, sân nướng BBQ, sân cầu lông,…",entire_home,False,,/ đêm,6.0,,,True,True,True,True,,,,True,,,1.711,₫1.711.766,True,True,,False,False,,,True,,,,,,,,,,,
865896968275957293,https://www.airbnb.com.vn/rooms/865896968275957293,Chơn Thành,6,11.43521,106.66373,REGULAR,,phòng đầy đủ những tiện nghi,private_room,False,,/ đêm,,,,,True,True,True,True,,True,True,,,456.471,₫456.471,True,True,,,False,,True,,,,,,,,,,,,
720775548210517463,https://www.airbnb.com.vn/rooms/720775548210517463,,30,11.39969,107.39995,REGULAR,,Nui Tuong Village Stay 2 giường | Phòng tắm chung,private_room,False,,/ đêm,4.0,True,True,True,True,True,True,,,True,,False,True,912.942,₫912.942,,,False,False,False,,,,,,,,,,,,,,
47738121,https://www.airbnb.com.vn/rooms/47738121,,6,11.42686,107.36156,REGULAR,,Bungalow,private_room,False,,/ đêm,1.0,,,,True,,True,True,,,True,False,False,570.589,₫570.589,,True,False,False,False,,,,,,,,,,,,,,
823635643715384792,https://www.airbnb.com.vn/rooms/823635643715384792,Tân Bình,9,11.40318,106.73171,REGULAR,,Fall in Love w The Cozy APT@Full,entire_home,False,,/ đêm,2.0,,,True,True,True,True,,,,True,,,805.905,₫805.905,,True,,False,,,True,,,,,,,,,,,,
820536505764736536,https://www.airbnb.com.vn/rooms/820536505764736536,Quận 4,10,11.432470521091657,106.64800498634577,REGULAR,,Căn Hộ TheGoldView Trung Tâm HCM,entire_home,False,,/ đêm,4.0,,,True,True,True,True,True,,,True,,,1.654,₫1.654.707,True,True,,,,,True,,,,,,,,,,,,
813971259754308291,https://www.airbnb.com.vn/rooms/813971259754308291,Bình Thạnh,10,11.41761,106.68743,REGULAR,,Thư giãn và yên tĩnh,entire_home,False,,/ đêm,2.0,,True,True,True,True,True,True,,,True,,,1.655,₫1.655.620,True,,,False,,,True,,,,,,,,,,,,
822171319831401746,https://www.airbnb.com.vn/rooms/822171319831401746,Quận 7,8,11.41987,106.6867,REGULAR,,Zen building - Căn hộ Studio có ban công lớn,private_room,False,,/ đêm,2.0,,,True,True,True,True,,,,True,False,True,980.271,₫980.271,True,True,,,,,True,,,,,True,True,,,,,,
715636443066318051,https://www.airbnb.com.vn/rooms/715636443066318051,,30,11.400592383972441,107.40038509885252,REGULAR,,Nui Tuong Village Stay 2 giường | Đã bao gồm phòng tắm,private_room,False,,/ đêm,4.0,,True,True,True,True,True,,,True,,,,1.369,₫1.369.412,,,,False,False,,True,,,,,,,,,,,,
715131974249499513,https://www.airbnb.com.vn/rooms/715131974249499513,Đồng Xoài,11,11.52454,106.87702,REGULAR,,"Phòng ngủ Hoa Đào, không gian lý tưởng",private_room,False,,/ đêm,2.0,,,True,True,,True,,,,True,,,513.530,₫513.530,True,True,,False,False,,,,,,,,,True,True,,,,
865927953030113215,https://www.airbnb.com.vn/rooms/865927953030113215,Chơn Thành,6,11.4351,106.66267,REGULAR,,đầy đủ tiện nghi,private_room,False,,/ đêm,,,,,True,True,True,True,,True,True,,,570.589,₫570.589,True,True,,,,,True,,,True,,,,,,,,,
48933557,https://www.airbnb.com.vn/rooms/48933557,Thị xã Đồng Xoài,15,11.53902,106.89691,REGULAR,,"Khách sạn Đồng Xoài, Bình Phước - phòng 2 giường",private_room,False,,/ đêm,4.0,,,True,True,True,True,,,,,,,753.177,₫753.177,True,True,,False,False,,,,True,True,,,,,,,,,
815657916618189714,https://www.airbnb.com.vn/rooms/815657916618189714,Quận 4,8,11.43309,106.64908,REGULAR,,Căn hộ Studio 1,entire_home,False,,/ đêm,2.0,,,True,True,,,,,,,,,1.383,₫1.383.530,True,True,,False,False,,True,,,,,,,,True,,,,
