room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_HAIRDRYER,yearHosting,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_BREAKFAST
46502486,https://www.airbnb.com.vn/rooms/46502486,"5,0",Cửa Việt,24,16.91269,107.1821,REGULAR,,An toàn - thoải mái - riêng tư,entire_home,3,False,,/ đêm,2.807,₫2.807.295,8.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
803524261425261347,https://www.airbnb.com.vn/rooms/803524261425261347,,Thành phố Đông Hà,5,16.80915,107.09299,REGULAR,,Ao ước bạn hài lòng nơi ở nghỉ,private_room,,False,,/ đêm,797.683,₫797.683,5.0,,,True,True,True,,,True,False,,False,True,True,True,True,True,False,,,,,,,,,
845345904869086748,https://www.airbnb.com.vn/rooms/845345904869086748,,Thành phố Đông Hà,5,16.81522,107.09022,REGULAR,,Nhà ở thân thiện!,private_room,,False,,/ đêm,386.859,₫386.859,2.0,,,,True,True,,,True,False,False,False,True,True,,,True,,True,,,,,,,,
709845252918053412,https://www.airbnb.com.vn/rooms/709845252918053412,"5,0",A Lưới,30,16.2982,107.38736,REGULAR,,Jim 's House A luoi| 2 phòng ngủ |thiên nhiên *FREE_% {list_itemast,private_room,3,False,,/ đêm,,,2.0,,,True,True,True,True,,True,False,False,,,True,,,,,,True,True,,,,,,
25983427,https://www.airbnb.com.vn/rooms/25983427,,Thành phố Đông Hà,6,16.81199,107.11543,REGULAR,,"Đông Hà city, Quảng trị province, việt nam",entire_home,,False,,/ đêm,855.883,₫855.883,2.0,,,True,True,True,,,,False,False,,,True,True,True,True,,,,,True,,,,,
686748535974118791,https://www.airbnb.com.vn/rooms/686748535974118791,,A Lưới,28,16.30239,107.33358,REGULAR,,Jim 's House A luoi | 1 phòng ngủ |thiên nhiên *FREE_% {list_itemast,private_room,,False,,/ đêm,487.853,₫487.853,2.0,,,True,True,True,,,True,False,False,,,True,,,,,,True,True,,,,,,
43547973,https://www.airbnb.com.vn/rooms/43547973,"5,0",Hồng Trung,30,16.31305,107.17498,REGULAR,,Anôr House  is just 500m from Anôr waterfall,private_room,4,False,,/ đêm,388.000,₫388.000,12.0,,,True,True,True,,,True,False,False,False,True,True,,,,False,,True,True,,2,,,,
25982067,https://www.airbnb.com.vn/rooms/25982067,,Thành phố Đông Hà,6,16.81247,107.11559,REGULAR,,"Đông Hà city , Quảng Trị province, Việt Nam",entire_home,,False,,/ đêm,535.300,₫535.300,2.0,,,True,True,True,,,,False,False,,,,True,True,True,,,,,True,,,,,
722106537224832734,https://www.airbnb.com.vn/rooms/722106537224832734,,Cửa Việt,30,16.909626,107.1779936,REGULAR,,DUNG NHAM vườn nhà - Bãi biển CỬA VIỆT NAM,entire_home,,False,,/ đêm,2.851,₫2.851.801,8.0,,,True,True,True,,,True,False,False,,,True,True,True,True,,,,,,,,,,
863614556181913910,https://www.airbnb.com.vn/rooms/863614556181913910,,A Lưới,30,16.29929,107.38748,REGULAR,,Jim's House A luoi | 2 Family,shared_room,,False,,/ đêm,,,6.0,,,True,True,True,,True,True,False,False,,,True,True,,,,,,True,,,,,,
686553500294467835,https://www.airbnb.com.vn/rooms/686553500294467835,,A Lưới,30,16.30246,107.33422,REGULAR,,Jim 's House A luoi,entire_home,,False,,/ đêm,3.794,₫3.794.414,16.0,,,True,True,True,True,True,,False,False,,,True,,True,,,,True,,,,,,,
864954268183057100,https://www.airbnb.com.vn/rooms/864954268183057100,,tt. A Lưới,30,16.28191,107.22225,REGULAR,,Có phòng cho nhóm đông 4 bạn,shared_room,,False,,/ đêm,,,12.0,True,,True,True,True,,,,False,False,,,True,,,,,,,True,True,,True,,,
45338232,https://www.airbnb.com.vn/rooms/45338232,,Thành phố Đông Hà,9,16.83692,107.13434,REGULAR,,"Hãy cho gia đình, bạn bè tốt và nghỉ ngơi cùng nhau.",entire_home,,False,,/ đêm,802.984,₫802.984,4.0,,,True,True,True,,,,False,False,,,,True,True,True,,,,,,,,True,True,
24748552,https://www.airbnb.com.vn/rooms/24748552,,Thành phố Đông Hà,6,16.82603,107.0849,REGULAR,,"Phòng tầng trên cùng, ban công với tầm nhìn ra hồ bơi",entire_home,,False,,/ đêm,401.495,₫401.495,1.0,,,,,,,True,,False,False,,,,,,,,,,,,,,,,
49490001,https://www.airbnb.com.vn/rooms/49490001,,Vĩnh Giang,13,17.00762,107.08417,REGULAR,,Nhà của Ngọc,entire_home,,False,,/ đêm,2.703,₫2.703.325,6.0,,,True,True,True,,True,,False,,,,True,True,True,,,,,,,,,True,True,
35697056,https://www.airbnb.com.vn/rooms/35697056,,Thành phố Đông Hà,10,16.80695,107.09572,REGULAR,,cho thue nha 21-7 nguyen du,entire_home,,False,,/ đêm,2.863,₫2.863.943,1.0,,,True,True,True,,True,,False,False,,,,True,,,,,,,,,,,,
39785965,https://www.airbnb.com.vn/rooms/39785965,,Đông Hà,5,16.80989,107.08852,REGULAR,,Đông Hà || Phong cách đơn giản,entire_home,,False,,/ đêm,912.885,₫912.885,6.0,,,True,True,,,True,,False,False,,,,True,,True,,,,,,,,,,True
35469238,https://www.airbnb.com.vn/rooms/35469238,,Thành phố Đông Hà,10,16.80942,107.09011,REGULAR,,cho thue nha 139 nguyen binh khiem,entire_home,,False,,/ đêm,2.890,₫2.890.727,,,,,,,,,,,,,,,,,,,,,,,,,,,
