room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_EV_CHARGER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LOCK_ON_DOOR,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,SYSTEM_SURVEILLANCE,SYSTEM_VIEW_OCEAN,SYSTEM_LUGGAGE_DROP,SYSTEM_JACUZZI,SYSTEM_FIREPLACE,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_POOL,SYSTEM_SAUNA,SYSTEM_ELEVATOR,SYSTEM_FIREPIT,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BREAKFAST,SYSTEM_CRIB,SYSTEM_BEACH,SYSTEM_SKI,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_BATHTUB,SYSTEM_PIANO
17805197,https://www.airbnb.com.vn/rooms/17805197,"5,0",Thành phố Thái Nguyên,25,21.55111,105.84721,REGULAR,,Nam Mỹ Vân Homestay Backpacker Thái Nguyên,private_room,7,True,True,6,False,,/ đêm,268.177,₫268.177,2,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18487010,https://www.airbnb.com.vn/rooms/18487010,"4,6",Yên Phụ,16,21.05487,105.83704,REGULAR,,Sống cùng gia đình bản xứ Kim Hà Nội 4,private_room,63,True,True,6,False,,/ đêm,321.187,₫321.187,2,,True,True,True,True,,,,False,False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
36722199,https://www.airbnb.com.vn/rooms/36722199,"4,76",Thanh Nhàn,14,21.00339,105.86218,REGULAR,,Ngôi nhà ấm cúng trong cửa sổ rộng ở giữa - Góc nhìn thoáng mát. R #302,private_room,42,True,True,4,False,,/ đêm,321.187,₫321.187,2,,True,True,True,,,,,False,False,True,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
740798436221615329,https://www.airbnb.com.vn/rooms/740798436221615329,"4,62",Quang Tiến,20,21.2182863,105.7818496,REGULAR,,"Thanh Huong 99 Hotel - Nội Bài, Hà Nội, VN (201)",private_room,26,,,,False,,/ đêm,319.530,₫319.530,2,,True,True,True,True,,,,,,,True,True,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,
665790698932957015,https://www.airbnb.com.vn/rooms/665790698932957015,"5,0",Từ Liêm,8,21.03141,105.77266,REGULAR,,"Căn hộ tươi mới tại Mỹ Đình, Hà Nội",private_room,3,,,,False,,/ đêm,346.606,₫346.606,2,,True,True,True,True,,,,False,False,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,
661914022530614120,https://www.airbnb.com.vn/rooms/661914022530614120,"4,98",Đống Đa,13,21.02345,105.83146,REGULAR,,Yue 越 HOMESTAY #2 @yueviet,private_room,62,True,True,2,False,,/ đêm,433.983,₫433.983,2,,,True,True,True,,,,False,,True,True,,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
680276298431818683,https://www.airbnb.com.vn/rooms/680276298431818683,"5,0",Thành phố Vĩnh Yên,6,21.3170182,105.6130974,REGULAR,,Nơi bình yên giữa Thành phố!,private_room,7,False,True,9,False,,/ đêm,342.353,₫342.353,2,,True,True,,True,,,,False,False,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
34748111,https://www.airbnb.com.vn/rooms/34748111,"4,9",Ba Đình,18,21.04581,105.8106,REGULAR,,Studio đẹp gần Westlake và nhiều đường phố chính,entire_home,79,,,,False,,/ đêm,374.726,₫374.726,2,,True,True,True,,,,,False,False,,True,True,True,,,,True,,True,,,,,,,,,,,,,,,,,,,
891673992976938536,https://www.airbnb.com.vn/rooms/891673992976938536,,Tây Hồ,23,21.06232,105.83261,REGULAR,,Vitamin Home~Beauty daisy room,private_room,,,,,False,,/ đêm,,,2,,True,True,True,,,,,False,False,,True,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,
891764502403241424,https://www.airbnb.com.vn/rooms/891764502403241424,,Tây Hồ,16,21.08309,105.81966,REGULAR,,Vitamin Home~nice room w/balcony,private_room,,,,,False,,/ đêm,,,2,,True,True,True,,,,,False,False,,True,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,
17193612,https://www.airbnb.com.vn/rooms/17193612,"4,44",,10,21.01208,105.8404,REGULAR,,Ấm cúng,private_room,59,False,True,7,False,,/ đêm,254.282,₫254.282,3,,True,True,True,True,,,,False,,True,True,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,
737539223434077240,https://www.airbnb.com.vn/rooms/737539223434077240,"4,83",Hoàn Kiếm,11,21.02093,105.85956,REGULAR,,Ánh sáng mặt trời tự nhiên ở Hoàn Kiếm,private_room,23,False,True,9,False,,/ đêm,441.436,₫441.436,2,,True,True,True,,,,,False,,True,True,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,
27242294,https://www.airbnb.com.vn/rooms/27242294,,Thành phố Thái Nguyên,1,21.532,105.81685,REGULAR,,Bảo tồn văn hóa sinh thái thôn Thái Hải,shared_room,,,,,False,,/ đêm,265.215,₫265.215,16,,True,True,,True,True,,,,,,True,True,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,
15889901,https://www.airbnb.com.vn/rooms/15889901,"4,47",Hanoi,11,21.01171,105.84003,REGULAR,,Rẻ và an toàn cho thuê,private_room,55,False,True,7,False,,/ đêm,267.664,₫267.664,2,True,True,True,True,True,,,,False,False,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
864472251138044843,https://www.airbnb.com.vn/rooms/864472251138044843,"5,0",Ba Đình,30,21.0438,105.8441,REGULAR,,(iii) Được trang bị đầy đủ tiện nghi/Studio/Trung tâm,private_room,3,,,,False,,/ đêm,,,2,,True,True,True,True,,,,False,False,,True,,,True,,True,,,,True,,,,,,,,,,,,,,,,,,
746322085943335360,https://www.airbnb.com.vn/rooms/746322085943335360,"4,64",Tây Hồ,19,21.05207,105.83968,REGULAR,,Căn hộ phong cách với không gian xanh gần hồ Tây,private_room,14,True,True,6,False,,/ đêm,322.133,₫322.133,2,,True,True,True,,,,,False,False,True,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
889335822358705688,https://www.airbnb.com.vn/rooms/889335822358705688,,Cầu Giấy,25,21.04459,105.79056,REGULAR,,"Guest suite with private kitchen, toilet, AC",private_room,,,,,False,,/ đêm,421.995,₫421.995,3,,True,True,True,,,,,,,,True,,,True,,True,,True,,True,,,True,True,,,,,,,,,,,,,,
719979493315673429,https://www.airbnb.com.vn/rooms/719979493315673429,"4,71",Hoàn Kiếm,15,21.02037,105.84621,REGULAR,,Vequehomestay-Villa15- Phố cổ -Bếp-Yên tĩnh,private_room,21,False,False,8,False,,/ đêm,315.839,₫315.839,2,,True,True,,True,,,False,False,False,,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,
833613377535232141,https://www.airbnb.com.vn/rooms/833613377535232141,,Thành phố Thái Nguyên,5,21.5782896,105.8327195,REGULAR,,Phòng nghỉ nhà sàn ấm cúng,private_room,,False,True,,False,,/ đêm,445.059,₫445.059,2,,True,True,True,True,,,,,,True,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,
661518993434369023,https://www.airbnb.com.vn/rooms/661518993434369023,"4,99",Đống Đa,13,21.0222663,105.831827,REGULAR,,Yue 越 HOMESTAY #1 @yueviet,private_room,74,True,True,2,False,,/ đêm,428.294,₫428.294,2,,,True,True,True,,,,False,,True,True,,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
