room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SURVEILLANCE,SYSTEM_FLOWER,SYSTEM_POOL,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_OCEAN,SYSTEM_BOAT_SAIL,SYSTEM_JACUZZI,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_SAUNA,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_CRIB,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_EV_CHARGER,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPIT,SYSTEM_HIGH_CHAIR,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MICROWAVE,SYSTEM_PIANO
47059074,https://www.airbnb.com.vn/rooms/47059074,"4,82",Tân Phú,11,10.77574,106.63356,REGULAR,,Ngắm hoàng hôn rơi ở Tân Phú,private_room,77,True,True,6,False,,/ đêm,330.941,₫330.941,2.0,True,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872608,https://www.airbnb.com.vn/rooms/31872608,"4,82",Ho Chi Minh ,30,10.79226,106.68592,REGULAR,,Phòng riêng rộng rãi của Phòng thí nghiệm Thực vật học theo CHU KỲ,hotel_room,87,,,,False,,/ đêm,,,2.0,,,True,True,True,True,,,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
831041943494707642,https://www.airbnb.com.vn/rooms/831041943494707642,"5,0",Quận 2,27,10.80471,106.728408,REGULAR,,Studio đẹp với ban công lớn tại Thảo Điền HCM,private_room,10,False,True,3,False,,/ đêm,623.094,₫623.094,4.0,True,True,True,True,True,True,True,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
802593028503307907,https://www.airbnb.com.vn/rooms/802593028503307907,,x. Bình Chánh,30,10.62227,106.57931,REGULAR,,"Nhà gỗ Việt phủ, Vườn & Bếp riêng, Hồ cá Koi, BBQ",entire_home,,,,,False,,/ đêm,1.015,₫1.015.770,8.0,,,True,True,True,True,True,True,,False,,,,,,,True,True,False,,,,,,,,,,,,,,,,,,
843921520422269057,https://www.airbnb.com.vn/rooms/843921520422269057,"5,0",Quận 3,20,10.791197,106.686825,REGULAR,,"Phòng Đơn Có Ban Công, WC Riêng Biệt tại Quận 3",private_room,7,True,True,2,False,,/ đêm,,,1.0,True,,True,True,True,True,,,,False,True,True,,,,True,,,False,,,,,,,,,,,,,,,,,,
890932071966341062,https://www.airbnb.com.vn/rooms/890932071966341062,,Châu Thành,30,10.45178,106.50852,REGULAR,,Một vùng quê gần thành phố HCM,private_room,,,,,False,,/ đêm,,,2.0,,,True,True,True,True,,True,,False,True,,True,,,True,,,False,,,,,,,,,,,,,,,,,,
24068079,https://www.airbnb.com.vn/rooms/24068079,"4,59",,18,10.76999,106.70382,REGULAR,,Luôn tươi mới *Gần chợ Bến Thành,private_room,115,False,True,5,False,,/ đêm,374.534,₫374.534,2.0,True,,True,True,True,True,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,
838902752393570617,https://www.airbnb.com.vn/rooms/838902752393570617,,Quận 7,22,10.72587,106.7421,REGULAR,,Riverview Phu My Hung Netflix,entire_home,,,,,False,,/ đêm,596.920,₫596.920,4.0,,,True,True,,True,,True,True,False,True,,,,,,True,True,,True,,,,,,,,,,,,,,,,,
878703043584443853,https://www.airbnb.com.vn/rooms/878703043584443853,"5,0",Phú Nhuận,30,10.8096603,106.6742998,REGULAR,,41/Apartment w Swimming Pool&Gym Free near Airport,entire_home,4,,,,False,,/ đêm,587.490,₫587.490,3.0,,True,True,True,True,,,True,,,True,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,
874308222775023214,https://www.airbnb.com.vn/rooms/874308222775023214,,Phú Nhuận,10,10.79703,106.6897,REGULAR,,Johny Home 8,private_room,1,False,True,6,False,,/ đêm,290.547,₫290.547,2.0,True,True,True,True,True,,,True,,False,True,,True,,,,,,False,,,,,,,,,,,,,,,,,,
