room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,SYSTEM_FLOWER,SYSTEM_COOKING_BASICS,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,SYSTEM_LUGGAGE_DROP,SYSTEM_SMOKING_ALLOWED,isSuperHost,isVerified,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_ELEVATOR,SYSTEM_REFRIGERATOR,SYSTEM_PATIO_BALCONY,SYSTEM_VIEW_CITY,SYSTEM_PIANO,SYSTEM_BREAKFAST,SYSTEM_EV_CHARGER,SYSTEM_VIEW_OCEAN
48052481,https://www.airbnb.com.vn/rooms/48052481,Thành phố Tây Ninh,10,11.32236,106.10932,REGULAR,,Hotel986-Home Away From Home,private_room,False,,/ đêm,400.537,₫400.537,16.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
616950202243335197,https://www.airbnb.com.vn/rooms/616950202243335197,An Thạnh,18,11.07822,106.22289,REGULAR,,The Garden Billionaire 's Bungalow,entire_home,False,,/ đêm,,,2.0,True,True,True,,,,,,False,False,"5,0",3,True,True,True,True,,,,,,,,,,,,,,,,,,,
36505313,https://www.airbnb.com.vn/rooms/36505313,Tay Ninh,28,11.29463,106.11072,REGULAR,,Phòng gác mái chung ( Homestay ở Tây Ninh),shared_room,False,,/ đêm,298.988,₫298.988,10.0,True,,True,True,True,,,,False,False,"5,0",3,,True,True,True,True,,,,,,,,,,,,,,,,,,
552012482334543631,https://www.airbnb.com.vn/rooms/552012482334543631,Thành phố Tây Ninh,11,11.297313,106.101486,REGULAR,,Nông trại AN,shared_room,False,,/ đêm,479.294,₫479.294,2.0,True,,,,True,,,,False,False,,,True,True,,True,,True,,,,,,,,,,,,,,,,,
888095687408900550,https://www.airbnb.com.vn/rooms/888095687408900550,tt. Gò Dầu,14,11.09241,106.28383,REGULAR,,"220 square meter, near market",entire_home,False,,/ đêm,267.827,₫267.827,16.0,,True,True,,,,,,False,False,,,True,True,True,,True,,True,True,,,,,,,,,,,,,,,
43683071,https://www.airbnb.com.vn/rooms/43683071,Thành phố Tây Ninh,13,11.30296,106.12076,REGULAR,,nhà ông hội đồng,private_room,False,,/ đêm,399.412,₫399.412,16.0,True,,True,True,True,,,,False,False,,,,True,,True,,,,,False,False,True,False,,,,,,,,,,,
716225498609779317,https://www.airbnb.com.vn/rooms/716225498609779317,Củ Chi,30,11.0227888,106.5467267,REGULAR,,Cherry Room - Vườn Nhà Ngoại Garden Homestay,private_room,False,,/ đêm,445.059,₫445.059,2.0,True,True,True,True,True,,,,False,False,,2,,True,True,,,,,,False,True,,,6,True,,,,,,,,,
859122267963108098,https://www.airbnb.com.vn/rooms/859122267963108098,Phú Mỹ Hưng,5,11.13059,106.47927,REGULAR,,Căn hộ dịch vụ tại Phú Mỹ Hưng,entire_home,False,,/ đêm,,,2.0,True,True,True,True,True,,True,,False,False,,,,,,True,,,,,,,,,,,,,,,,,,,
34959147,https://www.airbnb.com.vn/rooms/34959147,Hồng Bàng,16,11.29344,106.36869,REGULAR,,"威住住公住 Căn hộ của Venice 
VinhomesImperia 30 [[sq]]",private_room,False,,/ đêm,456.471,₫456.471,2.0,True,,True,True,True,True,True,,False,,,,,True,,,,,,,,,,,,,True,True,,,,,,,
555287572691967539,https://www.airbnb.com.vn/rooms/555287572691967539,Thành phố Tây Ninh,9,11.296784,106.101433,REGULAR,,Camping tại AN Farm,entire_home,False,,/ đêm,382.294,₫382.294,16.0,True,,,,True,,,,False,False,,,,True,True,True,,True,,True,,,,,,,,,,,,,,,
