room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_PATIO_BALCONY,SYSTEM_PACK_N_PLAY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,price,price_full,SYSTEM_BEACH,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_VIEW_OCEAN,SYSTEM_PETS,isSuperHost,isVerified,yearHosting,SYSTEM_REFRIGERATOR,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WORKSPACE,SYSTEM_TOYS,SYSTEM_MICROWAVE,SYSTEM_DRYER,SYSTEM_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_SKI,SYSTEM_EV_CHARGER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_JACUZZI,SYSTEM_FIREPIT,SYSTEM_POOL,SYSTEM_CRIB,SYSTEM_LUGGAGE_DROP,SYSTEM_HIGH_CHAIR,SYSTEM_ELEVATOR,SYSTEM_CALENDAR,SYSTEM_CABLE,SYSTEM_VIDEO_GAME,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_CITY,SYSTEM_GOLF
10048690,https://www.airbnb.com.vn/rooms/10048690,"4,89",Bollnäs,6,61.33146,16.39308,REGULAR,,Mysig stuga i Bollnäs,entire_home,56,False,,/ đêm,4,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629387960974098977,https://www.airbnb.com.vn/rooms/629387960974098977,"4,6",Bäckänge,13,61.29534,16.52219,REGULAR,,Trevligt fritidshus med nära till bad.,entire_home,5,False,,/ đêm,4,,True,True,True,True,,,,False,3.077,₫3.077.264,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44315560,https://www.airbnb.com.vn/rooms/44315560,"4,82",Lotan,18,61.21729,16.48997,REGULAR,,Lantlig gård med djur och grönsaksodlingar,entire_home,22,False,,/ đêm,3,True,True,,True,,True,True,,False,1.438,₫1.438.966,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762315560444737648,https://www.airbnb.com.vn/rooms/762315560444737648,,Bollnäs,8,61.41047,16.40965,REGULAR,,Lilla Västis!,private_room,2,False,,/ đêm,2,True,True,True,True,True,True,,,False,387.857,₫387.857,,,,,,,,False,True,4,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,
49624698,https://www.airbnb.com.vn/rooms/49624698,"4,57",Bollnäs Ö,14,61.262455,16.659588,REGULAR,,"Nhà nghỉ thôn dã, có tầm nhìn ra hồ Bergviken",entire_home,44,False,,/ đêm,4,True,True,,True,True,True,,,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870736827640438944,https://www.airbnb.com.vn/rooms/870736827640438944,,Gärdet-Centrum,6,61.351047169010265,16.33948255330324,REGULAR,,charmigt hus med mysig trädgård,private_room,,False,,/ đêm,2,,True,True,True,,,,,False,738.541,₫738.541,,True,,,,,True,False,True,,True,False,,True,True,,,,,,,,,,,,,,,,,,,,,,
716995817052115348,https://www.airbnb.com.vn/rooms/716995817052115348,"4,67",Säversta-Häggesta,10,61.34612,16.3786,REGULAR,,Charmigt hus med tre rum och kök centralt,entire_home,3,False,,/ đêm,4,,True,True,True,True,,,,False,2.669,₫2.669.529,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770847839326679772,https://www.airbnb.com.vn/rooms/770847839326679772,,Gärdet-Centrum,5,61.35905,16.37343,REGULAR,,Inredd källarlägenhet,entire_home,,False,,/ đêm,2,True,True,True,True,True,True,,,False,1.179,₫1.179.619,,,,,,,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
41997657,https://www.airbnb.com.vn/rooms/41997657,"4,86",Acktjära,30,61.25914,16.48006,REGULAR,,Stort nyrenoverat hus i charmig by!,entire_home,28,False,,/ đêm,9,True,True,True,True,True,,,,False,3.128,₫3.128.023,,True,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
50050216,https://www.airbnb.com.vn/rooms/50050216,"4,81",Röste,29,61.39616,16.39898,REGULAR,,”Engelbrekts Boning” En pärla i Hälsingland,entire_home,58,False,,/ đêm,5,True,True,,True,,True,,,False,,,True,True,,,,,True,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,
876559521563914725,https://www.airbnb.com.vn/rooms/876559521563914725,,Gärdet-Centrum,10,61.35683,16.39045,REGULAR,,Cozy room in the charming house,private_room,,False,,/ đêm,2,True,True,True,True,,,,,False,1.025,₫1.025.753,,True,,,True,,True,False,True,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,
50610357,https://www.airbnb.com.vn/rooms/50610357,"4,75",Bollnäs Ö,11,61.22335,16.57761,REGULAR,,Bo i Herrgårdsmiljö med närhet till naturen,private_room,12,False,,/ đêm,2,True,True,True,True,True,,,,False,1.525,₫1.525.810,,True,,,,True,,False,True,2,,False,,True,,,,,,,,,,,,,,,,,,,,,,,
7138460,https://www.airbnb.com.vn/rooms/7138460,"4,76",Herte,11,61.26301,16.42088,REGULAR,,Gentlefolk suite,private_room,34,False,,/ đêm,4,,True,,True,,,,,False,2.051,₫2.051.511,,True,,,,True,True,False,True,8,,,,,,,,True,,,,,,,,,,,,,,,,,,,
886118013317869866,https://www.airbnb.com.vn/rooms/886118013317869866,,Rättvik,7,60.87223582249263,15.105491392314434,REGULAR,,Gråa stugan.,entire_home,,False,,/ đêm,2,,True,,True,True,,,,False,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
31164984,https://www.airbnb.com.vn/rooms/31164984,"4,94",Simeå,30,61.57455,16.3153,REGULAR,,Căn hộ tại Simeå - gần Järvsö và Orbaden,entire_home,296,False,,/ đêm,6,True,True,True,True,,,,,False,974.469,₫974.469,True,,,,,,True,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,
13912755,https://www.airbnb.com.vn/rooms/13912755,"4,81",Ljusdal V,14,61.62314,15.99776,REGULAR,,Cosy cottage Harsa / Järvsö,entire_home,199,False,,/ đêm,4,True,True,,True,True,True,,,False,1.795,₫1.795.072,,True,,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
37047120,https://www.airbnb.com.vn/rooms/37047120,"4,98",Bollnäs NO,30,61.4746,16.39271,REGULAR,,Lilla huset,entire_home,47,False,,/ đêm,6,True,True,True,True,True,,,,False,2.211,₫2.211.453,True,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
570681017688210056,https://www.airbnb.com.vn/rooms/570681017688210056,"4,95",Rättvik V,23,60.92292,15.09988,REGULAR,,"Trevlig nybyggd stuga, 30 kvm, bymiljö, sjöutsikt",entire_home,61,False,,/ đêm,4,True,True,True,True,True,True,,,False,1.333,₫1.333.481,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731549349369939179,https://www.airbnb.com.vn/rooms/731549349369939179,"5,0",Bollnäs,12,61.4087,16.40944,REGULAR,,"Villa Västerbacken, Bed & Breakfast",private_room,3,False,,/ đêm,2,True,True,True,True,True,,,,False,542.109,₫542.109,True,True,,,,,,False,True,4,,False,,True,,,,,,,,,,,,,,,,,,,,,,,
29791488,https://www.airbnb.com.vn/rooms/29791488,"4,96",Bollnäs NV,12,61.50032,16.35564,REGULAR,,Kronbacka Gård B&B rum 1,private_room,81,False,,/ đêm,2,True,True,,True,True,,,,False,1.461,₫1.461.699,,,,,,,,True,True,4,True,False,,,,True,,,,,,True,True,,,,,,,,,,,,,,
553526539060985323,https://www.airbnb.com.vn/rooms/553526539060985323,"4,93",Ljusdal Ö,24,61.683692932128906,16.15159034729004,REGULAR,,"Gästhus på Jon-Anunds, med utsikt över Ljusnan",entire_home,42,False,,/ đêm,3,True,True,True,True,True,True,,,False,1.538,₫1.538.631,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43696533,https://www.airbnb.com.vn/rooms/43696533,"4,82",Ljusdal Ö,19,61.68361,16.18994,REGULAR,,Mysig stuga i Järvsö,entire_home,67,False,,/ đêm,4,True,True,True,True,True,,,,False,1.395,₫1.395.026,,True,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,
663499059439396657,https://www.airbnb.com.vn/rooms/663499059439396657,"4,76",Långshyttan,14,60.585821798739,16.13830077509316,REGULAR,,Mysiga stugor med bastu och båt,entire_home,25,False,,/ đêm,6,True,True,,True,,True,,,False,2.436,₫2.436.167,True,,,,,True,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
54313763,https://www.airbnb.com.vn/rooms/54313763,"4,91",Undersvik,13,61.60564,16.31302,REGULAR,,Nhà nghỉ thôn dã ở Undersvik gần Järvsö/Harsa/Orbaden,entire_home,33,False,,/ đêm,4,True,True,True,True,True,True,True,,False,1.333,₫1.333.481,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
35759031,https://www.airbnb.com.vn/rooms/35759031,"4,92",Leksand,19,60.78767,14.96587,REGULAR,,"Cabin ấm cúng tại Dalarna, Hjortnäs gần Leksand,",entire_home,127,False,,/ đêm,4,True,True,True,True,True,True,,,False,1.538,₫1.538.633,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34213823,https://www.airbnb.com.vn/rooms/34213823,"5,0",Långbo,26,61.51465,15.94335,REGULAR,,"Välbevarat torp intill Långrösten, Långbo",entire_home,64,False,,/ đêm,2,True,True,,True,True,True,,,False,1.745,₫1.745.921,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861266478260610992,https://www.airbnb.com.vn/rooms/861266478260610992,,Gärdet-Centrum,11,61.35698,16.38929,REGULAR,,Cozy room in the traditional Swedish house,private_room,,False,,/ đêm,1,True,True,True,True,,,,,False,897.536,₫897.536,,True,,,,,True,False,True,,,,,True,,,True,True,,,,,,,,,,,,,,,,,,,
6209694,https://www.airbnb.com.vn/rooms/6209694,"4,72",Herte,9,61.26194,16.41976,REGULAR,,"Lantligt boende på hästgård vid sjö, Pigkammaren",private_room,29,False,,/ đêm,2,True,True,,True,,,,,False,1.282,₫1.282.192,True,True,,,,,True,False,True,8,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,
43086656,https://www.airbnb.com.vn/rooms/43086656,"4,87",Acktjära,20,61.26058,16.48378,REGULAR,,Mysigt litet hus i vackra Acktjära.,entire_home,38,False,,/ đêm,4,True,True,True,True,True,True,,,False,2.051,₫2.051.511,,,,,,,True,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
50771707,https://www.airbnb.com.vn/rooms/50771707,"4,0",Bollnäs Ö,11,61.22509,16.57774,REGULAR,,Välkommen till Annexet Kilafors,private_room,4,False,,/ đêm,2,True,True,True,True,True,,,,False,1.525,₫1.525.810,,,,,,,,False,True,2,,False,,True,,,True,,,,,,,,,,,,,,,,,,,,
52561216,https://www.airbnb.com.vn/rooms/52561216,"4,22",Rättvik,9,60.88618,15.12995,REGULAR,,Gästhem Glassen Hostel 2bed centralt,private_room,37,False,,/ đêm,2,,True,True,True,True,,,,False,794.960,₫794.960,,True,,,,True,,False,True,9,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,
39815888,https://www.airbnb.com.vn/rooms/39815888,"5,0",Koldemo,25,61.45472,16.34921,REGULAR,,"Torpet, mysigt hus i skogen.",entire_home,14,False,,/ đêm,6,True,True,True,True,True,True,,,False,3.846,₫3.846.581,,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
